version,iteration,operation,gasUsed,latencyMs,costETH,memDeltaKB
privacy,1,stealthDerivation,0,5.3801,0.000000000,2112.51
privacy,1,stealthAnnounce,26233,9516.1473,0.000000026,-4340.36
privacy,1,makeOrder,3088587,9734.5412,0.000003091,474.84
privacy,1,poolDeposit,1004304,22004.7344,0.000001005,1870.48
privacy,1,zkProof_mergeWithdraw,0,1438.0756,0.000000000,-670.41
privacy,1,poolWithdraw,1273408,14017.5162,0.000001274,1865.49
privacy,1,prepareOrder,137069,22060.2600,0.000000137,7632.48
privacy,1,confirmIntention,225292,9265.1710,0.000000225,-841.08
privacy,1,addInformation,773542,9423.1947,0.000000774,448.58
privacy,1,pickupOrder,59209,9511.8516,0.000000059,634.88
privacy,1,deliveryOrder,1917010,9699.5764,0.000001918,391.10
privacy,1,zkProof_client,0,818.8652,0.000000000,-9801.45
privacy,1,submitRating_client,284368,13600.6010,0.000000285,-311.73
privacy,1,zkProof_restaurant,0,2789.5422,0.000000000,678.02
privacy,1,submitRating_restaurant,284356,18544.7949,0.000000285,11137.38
privacy,2,stealthDerivation,0,5.2786,0.000000000,2095.19
privacy,2,stealthAnnounce,26233,13901.9746,0.000000026,764.29
privacy,2,makeOrder,3088587,9288.9206,0.000003090,153.99
privacy,2,poolDeposit,1024520,22536.2065,0.000001025,2005.75
privacy,2,zkProof_mergeWithdraw,0,972.1728,0.000000000,-2308.26
privacy,2,poolWithdraw,1283510,5816.8216,0.000001284,522.99
privacy,2,prepareOrder,137069,10134.4091,0.000000137,1015.82
privacy,2,confirmIntention,225292,5156.6333,0.000000225,-920.77
privacy,2,addInformation,773542,9547.0974,0.000000774,127.27
privacy,2,pickupOrder,59209,9586.4003,0.000000059,-225.61
privacy,2,deliveryOrder,1927665,9398.1134,0.000001928,306.46
privacy,2,zkProof_client,0,811.4519,0.000000000,-213.31
privacy,2,submitRating_client,284332,5579.6545,0.000000284,-618.27
privacy,2,zkProof_restaurant,0,2786.6780,0.000000000,520.60
privacy,2,submitRating_restaurant,284356,18548.1637,0.000000284,11060.20
privacy,3,stealthDerivation,0,4.4857,0.000000000,2097.56
privacy,3,stealthAnnounce,26233,13814.4856,0.000000026,-5479.51
privacy,3,makeOrder,3088575,9465.3142,0.000003089,-1385.85
privacy,3,poolDeposit,1014418,22717.3913,0.000001015,-4338.29
privacy,3,zkProof_mergeWithdraw,0,1069.5213,0.000000000,-3953.29
privacy,3,poolWithdraw,1278447,14055.8386,0.000001279,3777.98
privacy,3,prepareOrder,137069,10514.2903,0.000000137,11594.00
privacy,3,confirmIntention,225292,9443.4600,0.000000225,-6959.45
privacy,3,addInformation,773542,9620.4858,0.000000774,679.59
privacy,3,pickupOrder,59209,9602.6998,0.000000059,216.03
privacy,3,deliveryOrder,1932114,9969.8152,0.000001933,-524.65
privacy,3,zkProof_client,0,800.6741,0.000000000,-8171.56
privacy,3,submitRating_client,284356,14159.2793,0.000000284,9161.10
privacy,3,zkProof_restaurant,0,3322.8482,0.000000000,-8746.15
