k,burst,wallet,ok,sendMs,miningMs,totalMs,gasUsed,blockNumber
1,0,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,2.66,12035.81,12038.47,1914089,87
1,1,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,2.44,9993.22,9995.66,1896989,88
1,2,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,2.52,9964.41,9966.93,1896989,89
1,3,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,3.10,10010.07,10013.17,1896989,90
1,4,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,2.47,10013.16,10015.63,1896989,91
5,0,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,5.30,11967.86,11973.16,1896989,92
5,0,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,1,5.42,11968.11,11973.53,1896989,92
5,0,0x976EA74026E726554dB657fA54763abd0C3a0aa9,1,5.51,11968.38,11973.89,1896989,92
5,0,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,1,5.54,11968.79,11974.33,1896989,92
5,0,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,1,6.21,11968.61,11974.82,1896989,92
5,1,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,7.31,10005.69,10013.00,1896989,93
5,1,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,1,7.17,10006.07,10013.24,1896989,93
5,1,0x976EA74026E726554dB657fA54763abd0C3a0aa9,1,7.23,10006.54,10013.77,1896989,93
5,1,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,1,6.60,10006.92,10013.52,1896989,93
5,1,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,1,6.20,10007.41,10013.61,1896989,93
5,2,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,3.93,10009.30,10013.23,1896989,94
5,2,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,1,3.82,10009.77,10013.59,1896989,94
5,2,0x976EA74026E726554dB657fA54763abd0C3a0aa9,1,3.89,10010.23,10014.12,1896989,94
5,2,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,1,3.98,10010.77,10014.75,1896989,94
5,2,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,1,4.03,10011.42,10015.45,1896989,94
5,3,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,4.39,10001.65,10006.04,1896989,95
5,3,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,1,4.34,10002.25,10006.58,1896989,95
5,3,0x976EA74026E726554dB657fA54763abd0C3a0aa9,1,4.37,10002.70,10007.07,1896989,95
5,3,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,1,4.41,10003.09,10007.50,1896989,95
5,3,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,1,4.84,10002.95,10007.79,1896989,95
5,4,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,5.08,9961.83,9966.91,1896989,96
5,4,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,1,4.96,9962.40,9967.36,1896989,96
5,4,0x976EA74026E726554dB657fA54763abd0C3a0aa9,1,4.87,9962.84,9967.71,1896989,96
5,4,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,1,5.34,9962.87,9968.22,1896989,96
5,4,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,1,5.36,9963.33,9968.69,1896989,96
10,0,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,6.28,11987.44,11993.72,1896989,97
10,0,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,1,6.29,11987.75,11994.04,1896989,97
10,0,0x976EA74026E726554dB657fA54763abd0C3a0aa9,1,6.33,11988.00,11994.33,1896989,97
10,0,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,1,6.37,11988.27,11994.64,1896989,97
10,0,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,1,6.40,11988.66,11995.06,1896989,97
10,0,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,1,6.44,11988.94,11995.38,1896989,97
10,0,0xBcd4042DE499D14e55001CcbB24a551F3b954096,1,6.51,11989.35,11995.85,1896989,97
10,0,0x71bE63f3384f5fb98995898A86B02Fb2426c5788,1,5.76,11986.24,11992.00,1896989,97
10,0,0xFABB0ac9d68B0B445fB7357272Ff202C5651694a,1,5.82,11986.75,11992.57,1896989,97
10,0,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,1,5.86,11987.10,11992.96,1896989,97
10,1,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,6.75,10005.76,10012.51,1896989,98
10,1,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,1,6.83,10006.02,10012.85,1896989,98
10,1,0x976EA74026E726554dB657fA54763abd0C3a0aa9,1,7.04,10006.46,10013.50,1896989,98
