k,burst,wallet,ok,sendMs,miningMs,totalMs,gasUsed,blockNumber
1,0,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,2.80,12000.30,12003.10,3101512,92
1,1,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,3.29,10009.64,10012.92,3084424,93
1,2,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,3.99,9989.99,9993.98,3084424,94
1,3,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,3.82,9993.85,9997.66,3084424,95
1,4,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,2.96,10014.08,10017.04,3084424,96
5,0,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,10.70,11998.03,12008.74,3084424,97
5,0,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,1,10.41,11998.52,12008.93,3084412,97
5,0,0x976EA74026E726554dB657fA54763abd0C3a0aa9,1,10.29,11999.48,12009.77,3084424,97
5,0,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,1,10.16,11999.92,12010.08,3084424,97
5,0,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,1,10.07,12000.36,12010.42,3084424,97
5,1,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,10.08,9965.76,9975.84,3084424,98
5,1,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,1,9.85,9965.93,9975.78,3084424,98
5,1,0x976EA74026E726554dB657fA54763abd0C3a0aa9,1,9.68,9966.37,9976.05,3084412,98
5,1,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,1,9.56,9966.69,9976.25,3084424,98
5,1,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,1,9.50,9967.11,9976.61,3084412,98
5,2,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,8.63,9999.11,10007.74,3084424,99
5,2,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,1,8.22,9999.71,10007.93,3084424,99
5,2,0x976EA74026E726554dB657fA54763abd0C3a0aa9,1,8.11,10000.24,10008.35,3084424,99
5,2,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,1,8.10,10000.59,10008.68,3084424,99
5,2,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,1,7.89,10000.47,10008.36,3084424,99
5,3,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,8.72,9974.55,9983.28,3084424,100
5,3,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,1,8.50,9974.83,9983.34,3084424,100
5,3,0x976EA74026E726554dB657fA54763abd0C3a0aa9,1,8.46,9975.13,9983.59,3084424,100
5,3,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,1,8.42,9975.48,9983.89,3084424,100
5,3,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,1,8.40,9975.89,9984.29,3084424,100
5,4,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,8.75,9996.25,10005.00,3084424,101
5,4,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,1,8.54,9996.77,10005.31,3084424,101
5,4,0x976EA74026E726554dB657fA54763abd0C3a0aa9,1,8.62,9996.85,10005.47,3084424,101
5,4,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,1,8.50,9997.28,10005.79,3084412,101
5,4,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,1,8.45,9997.53,10005.98,3084424,101
10,0,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,17.84,11979.00,11996.84,3084424,102
10,0,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,1,16.68,11976.62,11993.30,3084424,102
10,0,0x976EA74026E726554dB657fA54763abd0C3a0aa9,1,16.71,11977.02,11993.73,3084424,102
10,0,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,1,16.80,11977.28,11994.07,3084424,102
10,0,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,1,16.75,11977.57,11994.32,3084424,102
10,0,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,1,16.71,11977.79,11994.50,3084424,102
10,0,0xBcd4042DE499D14e55001CcbB24a551F3b954096,1,16.69,11978.16,11994.85,3084424,102
10,0,0x71bE63f3384f5fb98995898A86B02Fb2426c5788,1,16.67,11978.40,11995.07,3084424,102
10,0,0xFABB0ac9d68B0B445fB7357272Ff202C5651694a,1,16.65,11978.59,11995.24,3084424,102
10,0,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,1,16.64,11978.81,11995.45,3084424,102
10,1,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,15.85,9981.43,9997.28,3084424,103
